Kind,Name,SumCyclomatic,AvgEssential,MaxInheritanceTree,PercentLackOfCohesion,CountClassDerived,CountClassCoupled,CountDeclMethod,Essential,CountLineCode
File,EmptyIgnoredTestCase.java,0,0,,,,,0,,5
File,EmptySource.java,0,0,,,,,0,,15
File,EnableJUnit4MigrationSupport.java,0,0,,,,,0,,20
File,EnableRuleMigrationSupport.java,0,0,,,,,0,,16
File,EnableRuleMigrationSupportWithBothRuleTypesTests.java,8,1,,,,,6,,62
File,EnabledIf.java,0,0,,,,,3,,17
File,EnabledIfEnvironmentVariable.java,0,0,,,,,2,,18
File,EnabledIfEnvironmentVariableCondition.java,7,1,,,,,2,,40
File,EnabledIfEnvironmentVariableConditionTests.java,11,1,,,,,10,,64
File,EnabledIfEnvironmentVariableIntegrationTests.java,7,1,,,,,7,,45
File,EnabledIfSystemProperty.java,0,0,,,,,2,,18
File,EnabledIfSystemPropertyCondition.java,6,2,,,,,1,,37
File,EnabledIfSystemPropertyConditionTests.java,11,1,,,,,11,,66
File,EnabledIfSystemPropertyIntegrationTests.java,9,1,,,,,9,,54
File,EnabledIfTests.java,18,1,,,,,18,,119
File,EnabledOnJre.java,0,0,,,,,1,,17
File,EnabledOnJreCondition.java,3,1,,,,,1,,28
File,EnabledOnJreConditionTests.java,14,1,,,,,13,,83
File,EnabledOnJreIntegrationTests.java,16,1,,,,,16,,81
File,EnabledOnOs.java,0,0,,,,,1,,17
File,EnabledOnOsCondition.java,3,1,,,,,1,,28
File,EnabledOnOsConditionTests.java,13,1,,,,,12,,76
File,EnabledOnOsIntegrationTests.java,13,1,,,,,13,,78
File,EnclosedJUnit4TestCase.java,2,1,,,,,2,,22
File,EngineDescriptor.java,2,1,,,,,2,,14
File,EngineDiscoveryRequest.java,0,0,,,,,3,,10
File,EngineDiscoveryResultValidator.java,8,1,,,,,2,,37
File,EngineDiscoveryResultValidatorTests.java,3,1,,,,,3,,45
File,EngineExecutionContext.java,0,0,,,,,0,,6
File,EngineExecutionListener.java,0,0,,,,,5,,13
File,EngineExecutionResults.java,5,1,,,,,5,,34
File,EngineFilter.java,17,1,,,,,11,,69
File,EngineTestKit.java,25,1,,,,,16,,117
File,EngineTestKitAllEventsDemo.java,2,1,,,,,1,,46
File,EngineTestKitFailedMethodDemo.java,1,1,,,,,1,,23
File,EngineTestKitSkippedMethodDemo.java,2,1,,,,,1,,24
File,EngineTestKitStatisticsDemo.java,4,1,,,,,2,,26
File,EnigmaException.java,1,1,,,,,1,,7
File,EnigmaThrowable.java,0,0,,,,,0,,4
File,EnumArgumentsProvider.java,5,1,,,,,2,,31
File,EnumArgumentsProviderTests.java,16,1,,,,,10,,64
File,EnumConfigurationParameterConverter.java,6,1,,,,,2,,37
File,EnumSource.java,14,1,,,,,10,,63
File,EnumSourceTests.java,33,1,,,,,10,,79
File,EqualsContract.java,3,1,,,,,4,,25
File,Event.java,19,1,,,,,16,,79
File,EventConditions.java,30,1,,,,,28,,128
File,EventStatistics.java,18,1,,,,,10,,52
File,EventType.java,2,1,,,,,2,,4
File,EventType.java,2,1,,,,,2,,14
File,Events.java,29,1,,,,,27,,139
File,ExampleTestCase.java,4,1,,,,,4,,33
File,ExceptionHandlingTests.java,39,1,,,,,30,,278
