Kind,Name,SumCyclomatic,AvgEssential,MaxInheritanceTree,PercentLackOfCohesion,CountClassDerived,CountClassCoupled,CountDeclMethod,Essential,CountLineCode
File,Filter.java,10,1,,,,,5,,44
File,FilterCompositionTests.java,8,1,,,,,4,,44
File,FilterResult.java,12,1,,,,,9,,44
File,FilterStub.java,6,1,,,,,4,,24
File,FirstJUnit5Tests.java,1,1,,,,,1,,9
File,FlatPrintingListener.java,16,1,,,,,14,,76
File,FlatPrintingListenerTests.java,14,1,,,,,6,,57
File,FullLogging.java,7,1,,,,,4,,57
File,FunctionUtils.java,3,1,,,,,2,,15
File,FunctionUtilsTests.java,7,1,,,,,3,,31
File,GenericBeforeAndAfterAdvice.java,3,1,,,,,3,,12
File,GenericSourceTests.java,19,1,,,,,16,,98
File,HamcrestAssertionDemo.java,1,1,,,,,1,,11
File,HierarchicalTestEngine.java,1,1,,,,,2,,13
File,HierarchicalTestExecutor.java,11,1,,,,,4,,68
File,HierarchicalTestExecutorTests.java,30,1,,,,,25,,375
File,HierarchyTraversalMode.java,2,1,,,,,2,,8
File,HtmlApiReportWriter.java,8,1,,,,,8,,42
File,IgnoreIOExceptionExtension.java,2,1,,,,,1,,14
File,IgnoreIOExceptionTests.java,2,1,,,,,2,,17
File,IgnoredJUnit4TestCase.java,1,1,,,,,1,,11
File,IncludeClassNameFilter.java,9,1,,,,,6,,31
File,IncludeClassNamePatterns.java,0,0,,,,,1,,17
File,IncludeEngines.java,0,0,,,,,1,,17
File,IncludePackageNameFilter.java,11,1,,,,,7,,45
File,IncludePackages.java,0,0,,,,,1,,17
File,IncludeTags.java,0,0,,,,,1,,17
File,IncrementingClock.java,5,1,,,,,5,,30
File,InvalidLifecycleMethodConfigurationTests.java,20,1,,,,,14,,80
File,IsInnerClass.java,3,3,,,,,1,,19
File,IsInnerClassTests.java,3,1,,,,,3,,27
File,IsNestedTestClass.java,2,1,,,,,1,,17
File,IsNestedTestClassTests.java,3,1,,,,,3,,31
File,IsPotentialJUnit4TestClass.java,4,4,,,,,1,,20
File,IsPotentialJUnit4TestClassTests.java,5,1,,,,,5,,37
File,IsPotentialJUnit4TestMethod.java,1,1,,,,,1,,10
File,IsPotentialTestContainer.java,4,4,,,,,1,,22
File,IsPotentialTestContainerTests.java,5,1,,,,,5,,36
File,IsScannableTestClass.java,2,1,,,,,1,,16
File,IsScannableTestClassTests.java,11,1,,,,,11,,62
File,IsTestClassWithTests.java,4,1,,,,,3,,26
File,IsTestClassWithTestsTests.java,10,1,,,,,10,,59
File,IsTestFactoryMethod.java,1,1,,,,,1,,10
File,IsTestFactoryMethodTests.java,9,1,,,,,9,,52
File,IsTestMethod.java,1,1,,,,,1,,10
File,IsTestMethodTests.java,21,1,,,,,22,,97
File,IsTestTemplateMethod.java,1,1,,,,,1,,10
File,IsTestTemplateMethodTests.java,5,1,,,,,5,,29
File,IsTestableMethod.java,6,3,,,,,2,,33
File,IterableFactory.java,2,1,,,,,2,,13
File,JOptSimpleCommandLineOptionsParser.java,7,1,,,,,5,,52
File,JOptSimpleCommandLineOptionsParserTests.java,191,1,,,,,51,,410
File,JUnit3SuiteWithSingleTestCaseWithSingleTestWhichFails.java,1,1,,,,,1,,10
File,JUnit4ClassDemo.java,2,1,,,,,2,,16
File,JUnit4ParameterizedTestCase.java,6,1,,,,,6,,30
File,JUnit4ParameterizedTests.java,5,1,,,,,4,,53
File,JUnit4SuiteDemo.java,0,0,,,,,0,,9
File,JUnit4SuiteOfSuiteWithIgnoredJUnit4TestCase.java,0,0,,,,,0,,8
File,JUnit4SuiteOfSuiteWithJUnit4TestCaseWithAssumptionFailureInBeforeClass.java,0,0,,,,,0,,8
File,JUnit4SuiteOfSuiteWithJUnit4TestCaseWithErrorInBeforeClass.java,0,0,,,,,0,,8
File,JUnit4SuiteWithExceptionThrowingRunner.java,0,0,,,,,0,,7
File,JUnit4SuiteWithIgnoredJUnit4TestCase.java,0,0,,,,,0,,8
File,JUnit4SuiteWithJUnit3SuiteWithSingleTestCase.java,0,0,,,,,0,,9
File,JUnit4SuiteWithJUnit4TestCaseWithAssumptionFailureInBeforeClass.java,0,0,,,,,0,,8
File,JUnit4SuiteWithJUnit4TestCaseWithErrorInBeforeClass.java,0,0,,,,,0,,8
File,JUnit4SuiteWithPlainJUnit4TestCaseWithSingleTestWhichIsIgnored.java,0,0,,,,,0,,8
File,JUnit4SuiteWithTwoTestCases.java,0,0,,,,,0,,8
File,JUnit4TestCaseWithAssumptionFailureInBeforeClass.java,2,1,,,,,2,,15
File,JUnit4TestCaseWithErrorCollectorStoringMultipleFailures.java,2,1,,,,,2,,19
File,JUnit4TestCaseWithErrorInAfterClass.java,3,1,,,,,3,,20
File,JUnit4TestCaseWithErrorInBeforeClass.java,2,1,,,,,2,,14
File,JUnit4TestCaseWithExceptionThrowingRunner.java,0,0,,,,,0,,7
File,JUnit4TestCaseWithOverloadedMethod.java,2,1,,,,,2,,19
File,JUnit4TestCaseWithRunnerWithCustomUniqueIds.java,1,1,,,,,1,,11
File,JUnit4Tests.java,1,1,,,,,1,,7
File,JUnit5EngineExecutionContextTests.java,4,1,,,,,4,,57
File,JUnitException.java,2,1,,,,,2,,13
File,JUnitPlatform.java,44,1,,,,,31,,225
File,JUnitPlatformProvider.java,21,1,,,,,11,,160
File,JUnitPlatformProviderTests.java,37,1,,,,,34,,316
File,JUnitPlatformRunnerListener.java,14,1,,,,,9,,68
File,JUnitPlatformRunnerTests.java,67,1,,,,,41,,585
File,JUnitPlatformTestSuite.java,0,0,,,,,0,,12
File,JUnitPlatformTestTree.java,25,1,,,,,15,,111
File,JavaElementsResolver.java,42,1,,,,,15,,173
File,JavaTimeArgumentConverter.java,3,1,,,,,2,,51
File,JavaTimeArgumentConverterTests.java,14,1,,,,,13,,90
File,JavaTimeConversionPattern.java,0,0,,,,,1,,17
File,JupiterEngineDescriptor.java,2,1,,,,,2,,27
